r,h,trn,value
AZ,hh4,hvetval,2.4501718308335785
AZ,hh4,hsurval,1.3014648427929516
AZ,hh4,hdisval,0.6443256497763408
AZ,hh4,hedval,0.6540538298507462
AZ,hh4,hcspval,0.27348033489552237
AZ,hh4,hfinval,0.02480679183673469
AZ,hh4,medicare,1.7079054935452558
AZ,hh4,medicaid,1.332861287954388
AZ,hh5,hucval,0.11497721625832455
AZ,hh5,hwcval,0.01456658823529412
AZ,hh5,hssval,2.246573499683872
AZ,hh5,hvetval,0.7220263268571427
AZ,hh5,hsurval,0.38623978942731274
AZ,hh5,hdisval,0.035110898253435455
AZ,hh5,hedval,0.7795598695373134
AZ,hh5,medicare,2.333478942881124
AZ,hh5,medicaid,1.8210631448739119
CA,hh1,hucval,0.46191167594808247
CA,hh1,hwcval,0.339943649943074
CA,hh1,hssval,16.87324984318542
CA,hh1,hssival,3.993755062112601
CA,hh1,hpawval,1.447728294439447
CA,hh1,hvetval,0.44801044587923416
CA,hh1,hsurval,0.25752954194273125
CA,hh1,hdisval,0.2522035950933244
CA,hh1,hedval,0.6179756977359254
CA,hh1,hcspval,0.3726865721343283
CA,hh1,hfinval,1.20620858898993
CA,hh1,medicare,20.80298814689509
CA,hh1,medicaid,20.25881807255773
CA,hh2,hucval,1.2676874548901438
CA,hh2,hwcval,0.7529204246929392
CA,hh2,hssval,23.359369872208582
CA,hh2,hssival,2.044146038566624
CA,hh2,hpawval,0.7041504680613139
CA,hh2,hvetval,1.267607732958751
CA,hh2,hsurval,0.8938857610166776
CA,hh2,hdisval,0.8579447853047074
CA,hh2,hedval,2.2802383617761195
CA,hh2,hcspval,0.6575266837787482
CA,hh2,hfinval,0.8092687590693407
CA,hh2,medicare,23.800141940096136
CA,hh2,medicaid,23.177571522936457
CA,hh3,hucval,1.0411740286297413
CA,hh3,hwcval,0.5611599460059179
CA,hh3,hssval,16.815963214627203
CA,hh3,hssival,0.9439335241105947
CA,hh3,hpawval,0.30745041560574954
CA,hh3,hvetval,1.6831836497673045
CA,hh3,hsurval,0.6807928988316551
CA,hh3,hdisval,0.7185837943077863
CA,hh3,hedval,2.0341450728507464
CA,hh3,hcspval,0.7431264983125546
CA,hh3,hfinval,0.7802725211360529
CA,hh3,medicare,15.909797199353227
CA,hh3,medicaid,15.493624509955268
CA,hh4,hucval,1.2081183156575654
CA,hh4,hwcval,0.5426659064508417
CA,hh4,hssval,24.108656138836082
CA,hh4,hssival,1.0378926189220492
CA,hh4,hpawval,0.15621377741273101
CA,hh4,hvetval,3.051336321808542
CA,hh4,hsurval,2.9865141028414093
CA,hh4,hdisval,2.14118887785198
CA,hh4,hedval,3.934373273776119
CA,hh4,hcspval,1.074426018133724
CA,hh4,hfinval,2.133128326530612
CA,hh4,medicare,9.73645710500968
CA,hh4,medicaid,9.48176828102049
CA,hh5,hucval,0.865553683358752
CA,hh5,hwcval,1.0403832578116947
CA,hh5,hssval,14.288873972590277
CA,hh5,hssival,0.3410647919632788
CA,hh5,hpawval,0.19196260188911704
CA,hh5,hvetval,3.3359402822385866
CA,hh5,hsurval,3.13090107692511
CA,hh5,hdisval,1.2049600794375845
CA,hh5,hedval,3.9386032839104472
CA,hh5,hcspval,0.7256552368200679
CA,hh5,hfinval,1.3361282965175
CA,hh5,medicare,19.16021560782637
CA,hh5,medicaid,18.65901761271061
CO,hh1,hucval,0.1354791977979905
CO,hh1,hwcval,0.030897782163187858
CO,hh1,hssval,2.637499440906867
CO,hh1,hssival,0.29856103809659623
CO,hh1,hpawval,0.09398266378644764
CO,hh1,hvetval,0.02312389784977908
CO,hh1,hsurval,0.024058636123348017
CO,hh1,hdisval,0.020213990220931656
CO,hh1,hcspval,0.01157849552238806
CO,hh1,hfinval,0.26440913988868275
CO,hh1,medicare,2.23371656884236
CO,hh1,medicaid,2.114463804932412
CO,hh2,hucval,0.07469431154054364
CO,hh2,hwcval,0.01759382163187856
CO,hh2,hssval,3.955832267593385
CO,hh2,hssival,0.06366005889932856
CO,hh2,hpawval,0.004479405338809036
CO,hh2,hvetval,0.5611581950529065
CO,hh2,hsurval,0.0743639720352423
CO,hh2,hdisval,0.08467409225297666
CO,hh2,hedval,0.21433492029850743
CO,hh2,hcspval,0.33558074991044773
CO,hh2,hfinval,0.23518890500927642
CO,hh2,medicare,2.76201086231748
CO,hh2,medicaid,2.6145537346428838
CO,hh3,hucval,0.0946066224774546
CO,hh3,hwcval,0.22822135969639468
CO,hh3,hssval,1.9771299769504957
CO,hh3,hssival,0.15264037024496113
CO,hh3,hvetval,0.5450922897294489
CO,hh3,hsurval,0.34936882695594706
CO,hh3,hdisval,0.20952592596676523
CO,hh3,hedval,0.049906631104477614
CO,hh3,hcspval,0.17820115599999997
CO,hh3,hfinval,0.6309062522518757
CO,hh3,medicare,1.880378202608148
CO,hh3,medicaid,1.779989325619488
CO,hh4,hucval,0.5376139591792655
CO,hh4,hwcval,0.21743668690702087
CO,hh4,hssval,3.257838317501528
CO,hh4,hssival,0.16325557189546835
CO,hh4,hvetval,0.4376732727353011
CO,hh4,hsurval,0.6978105522328701
CO,hh4,hdisval,0.054627891466588537
CO,hh4,hedval,1.1579663560880544
CO,hh4,hcspval,0.11214051958208955
CO,hh4,hfinval,0.9917377108624092
CO,hh4,medicare,1.1183549823189838
CO,hh4,medicaid,1.0625275040649969
CO,hh5,hucval,0.06686971604647884
CO,hh5,hssval,1.3648793314691365
CO,hh5,hssival,0.02445837920797474
CO,hh5,hvetval,0.28564496122533134
CO,hh5,hsurval,0.7098856850177837
CO,hh5,hdisval,0.0573906181394135
CO,hh5,hedval,0.6714298673045329
CO,hh5,hcspval,0.08757671641791044
CO,hh5,hfinval,0.0308577038961039
CO,hh5,medicare,1.8938528774414638
CO,hh5,medicaid,1.7927446199194559
CT,hh1,hucval,0.032969508186324284
CT,hh1,hssval,2.1444865777094053
CT,hh1,hssival,0.4695895674015609
CT,hh1,hpawval,0.051384753166324446
CT,hh1,hvetval,0.025761486751104564
CT,hh1,hsurval,0.0967784438061674
CT,hh1,hedval,0.02836406447761194
CT,hh1,hcspval,0.023927700611940297
CT,hh1,hfinval,0.08561628200371056
CT,hh1,medicare,2.276874808021248
CT,hh1,medicaid,2.175537687458256
CT,hh2,hucval,0.11698208854832881
CT,hh2,hssval,2.71879975863642
CT,hh2,hssival,0.21235495290581283
CT,hh2,hpawval,0.023562403613963046
CT,hh2,hvetval,0.4285748308453608
CT,hh2,hsurval,0.01909259127753304
CT,hh2,hdisval,0.10425735042123177
CT,hh2,hedval,0.004046925373134329
CT,hh2,hcspval,0.03833660402985074
CT,hh2,hfinval,0.027577901298701298
CT,hh2,medicare,2.60486327202828
CT,hh2,medicaid,2.488928332383072
CT,hh3,hucval,0.06807598570991984
CT,hh3,hssval,2.250923390518171
CT,hh3,hssival,0.052975357108365914
CT,hh3,hvetval,0.41647818613254783
CT,hh3,hsurval,0.030959587665198234
CT,hh3,hdisval,0.008929759995688664
CT,hh3,hedval,0.034437080597014925
CT,hh3,hcspval,0.21022659922388057
CT,hh3,hfinval,0.0650145306122449
CT,hh3,medicare,1.6560770821183681
CT,hh3,medicaid,1.5823698750549842
CT,hh4,hucval,0.04312212804404096
CT,hh4,hssval,3.8716822602254957
CT,hh4,hssival,0.019322822461978372
CT,hh4,hpawval,0.007395371630390144
CT,hh4,hvetval,0.4695002471399116
CT,hh4,hsurval,0.10196013356828193
CT,hh4,hdisval,0.13099436486128005
CT,hh4,hedval,0.21758768059701494
CT,hh4,hcspval,0.1566269001492537
CT,hh4,hfinval,0.039113160667903525
CT,hh4,medicare,1.0934330565103356
CT,hh4,medicaid,1.0447675097333315
CT,hh5,hucval,0.21595842846761162
CT,hh5,hssval,2.088435235354526
CT,hh5,hvetval,0.17853145449189983
CT,hh5,hsurval,0.37972768044052857
CT,hh5,hdisval,0.05333733648165937
CT,hh5,hedval,0.06601555223880597
CT,hh5,hcspval,0.06727770626865671
CT,hh5,hfinval,0.006270331725417439
CT,hh5,medicare,2.155951781321784
CT,hh5,medicaid,2.05999659537036
DE,hh1,hucval,0.010996196521758865
DE,hh1,hssval,0.6051439829312081
DE,hh1,hssival,0.07143426621627605
DE,hh1,hpawval,0.02232965125256674
DE,hh1,hvetval,0.0037931826804123714
DE,hh1,hsurval,0.005617457286343611
DE,hh1,hdisval,0.0007178754519623671
DE,hh1,hedval,0.01626464925373134
DE,hh1,hcspval,0.005141629611940298
DE,hh1,hfinval,0.02064232430426716
DE,hh1,medicare,0.7058971800573276
DE,hh1,medicaid,0.5801515586969411
DE,hh2,hucval,0.01843344053602863
DE,hh2,hssval,1.036305323907492
DE,hh2,hssival,0.04393512001622311
DE,hh2,hvetval,0.042941973207658315
DE,hh2,hsurval,0.019115676951541854
DE,hh2,hdisval,0.04886024086163531
DE,hh2,hedval,0.008123676582089552
DE,hh2,hcspval,0.019287084417910445
DE,hh2,hfinval,0.06787801113172542
DE,hh2,medicare,0.7248801820939045
DE,hh2,medicaid,0.5957530067993028
DE,hh3,hucval,0.026814017740053417
DE,hh3,hwcval,0.012096017305502846
DE,hh3,hssval,0.6406638274607291
DE,hh3,hssival,0.02008775811516058
DE,hh3,hpawval,0.006924889330595483
DE,hh3,hvetval,0.05992442848895434
DE,hh3,hsurval,0.02852346037004405
DE,hh3,hdisval,0.02917702556896772
DE,hh3,hedval,0.06369386417910447
DE,hh3,hcspval,0.027967572537313436
DE,hh3,hfinval,0.01177500556586271
DE,hh3,medicare,0.508000591396122
DE,hh3,medicaid,0.41750745468836276
DE,hh4,hucval,0.009729080862861623
DE,hh4,hwcval,0.02660723339658444
DE,hh4,hssval,0.7650303500118271
DE,hh4,hssival,0.008220228787540687
DE,hh4,hpawval,0.0036009905544147846
DE,hh4,hvetval,0.07925371145213549
DE,hh4,hsurval,0.007171115735682819
DE,hh4,hdisval,0.04301639214379552
DE,hh4,hedval,0.08350490447761194
DE,hh4,hcspval,0.03458767307462686
DE,hh4,medicare,0.3008137634006448
DE,hh4,medicaid,0.2472280363837176
DE,hh5,hucval,0.004544838515604084
DE,hh5,hssval,0.3140390196675128
DE,hh5,hssival,0.003252733337641678
DE,hh5,hvetval,0.20086129413843887
DE,hh5,hsurval,0.039308066960352425
DE,hh5,hdisval,0.01237073858452079
DE,hh5,hedval,0.07747269701492536
DE,hh5,hcspval,0.010623107522388058
DE,hh5,hfinval,0.010460705009276438
DE,hh5,medicare,0.5156082830520011
DE,hh5,medicaid,0.4237599434316756
DC,hh1,hucval,0.014063414012240476
DC,hh1,hwcval,0.015889411855787475
DC,hh1,hssval,0.3357067492702032
DC,hh1,hssival,0.08728194853787098
DC,hh1,hpawval,0.045025926776180704
DC,hh1,hvetval,0.0086990122179676
DC,hh1,hsurval,0.007193022026431718
DC,hh1,hdisval,0.022054811428055154
DC,hh1,hedval,0.006517492537313432
DC,hh1,hcspval,0.0007244776119402984
DC,hh1,hfinval,0.05158709049350649
DC,hh1,medicare,0.48947075117206623
DC,hh1,medicaid,1.0162735756036934
DC,hh2,hucval,0.01678470180839319
DC,hh2,hwcval,0.007451404417457306
DC,hh2,hssval,0.3024242363981548
DC,hh2,hssival,0.021114045711125035
DC,hh2,hpawval,0.007253578644763861
DC,hh2,hvetval,0.017246675982326952
DC,hh2,hsurval,0.018935646343612337
DC,hh2,hdisval,0.020884533653856136
DC,hh2,hedval,0.03727351905970149
DC,hh2,hcspval,0.0033992099104477613
DC,hh2,hfinval,0.006570184786641929
DC,hh2,medicare,0.2630274732572856
DC,hh2,medicaid,0.5747004732817468
DC,hh3,hucval,0.00536933109995138
DC,hh3,hwcval,0.0012654876660341558
DC,hh3,hssval,0.1543159406815788
DC,hh3,hssival,0.0077685049970782774
DC,hh3,hpawval,0.014263906915811088
DC,hh3,hvetval,0.007451090191458027
DC,hh3,hsurval,0.0017646216740088102
DC,hh3,hdisval,0.018959188813941732
DC,hh3,hedval,0.10712698208955222
DC,hh3,hcspval,0.0157993763880597
DC,hh3,hfinval,0.011478754730983302
DC,hh3,medicare,0.1708997815472136
DC,hh3,medicaid,0.3887190513384936
DC,hh4,hucval,0.008758314965448105
DC,hh4,hwcval,0.02241317647058823
DC,hh4,hssval,0.3444964641018748
DC,hh4,hssival,0.007877245537332324
DC,hh4,hpawval,0.006240581519507187
DC,hh4,hvetval,0.047397881354933724
DC,hh4,hsurval,0.007206720422907488
DC,hh4,hdisval,0.014449102294322322
DC,hh4,hedval,0.06174135074626865
DC,hh4,hcspval,0.008043339402985074
DC,hh4,hfinval,0.031650253803339516
DC,hh4,medicare,0.1405309313272992
DC,hh4,medicaid,0.31964376908329195
DC,hh5,hucval,0.005850972047370187
DC,hh5,hwcval,0.005496318785578748
DC,hh5,hssval,0.3224568714333172
DC,hh5,hssival,0.0013085678804216339
DC,hh5,hvetval,0.07470219886303386
DC,hh5,hsurval,0.10902922203964757
DC,hh5,hdisval,0.011570766889202543
DC,hh5,hedval,0.30504400750746263
DC,hh5,hcspval,0.014214116417910446
DC,hh5,hfinval,0.275624018471243
DC,hh5,medicare,0.3107499521742948
DC,hh5,medicaid,0.6651562000445091
FL,hh1,hucval,0.029146802982238627
FL,hh1,hwcval,0.025045445920303604
FL,hh1,hssval,16.86056190071541
FL,hh1,hssival,1.5910889603520897
FL,hh1,hpawval,0.28892478566735114
FL,hh1,hvetval,0.08052873656553755
FL,hh1,hsurval,0.08872240636123348
FL,hh1,hdisval,0.09346716934804265
FL,hh1,hedval,0.6635939679701492
FL,hh1,hcspval,0.3503460161791045
FL,hh1,hfinval,0.9377320915769946
FL,hh1,medicare,17.065188501444478
FL,hh1,medicaid,6.141891223501644
FL,hh2,hucval,0.2711865319199446
FL,hh2,hwcval,0.17514008561669828
FL,hh2,hssval,24.510256466660568
FL,hh2,hssival,1.3296452139548498
FL,hh2,hpawval,0.2517686846488707
FL,hh2,hvetval,1.6050526354992636
FL,hh2,hsurval,1.2984261577004403
FL,hh2,hdisval,0.7032297999798752
FL,hh2,hedval,0.7377884204626864
FL,hh2,hcspval,0.49447251047761187
FL,hh2,hfinval,0.9033938221892392
FL,hh2,medicare,19.1471401879806
FL,hh2,medicaid,6.891201481059528
FL,hh3,hucval,0.258602227252874
FL,hh3,hwcval,0.30687381859582546
FL,hh3,hssval,14.291458000173602
FL,hh3,hssival,0.47424426694114263
FL,hh3,hpawval,0.08114540821355239
FL,hh3,hvetval,2.8649019445714283
FL,hh3,hsurval,0.4072443883612335
FL,hh3,hdisval,0.4649885522515677
FL,hh3,hedval,0.7445809671791045
FL,hh3,hcspval,0.29786183767164176
FL,hh3,hfinval,0.19490359736549168
FL,hh3,medicare,11.613976171905565
FL,hh3,medicaid,4.179958417344552
FL,hh4,hucval,0.7541678967090082
FL,hh4,hwcval,0.6602706755977229
FL,hh4,hssval,18.498614461609066
FL,hh4,hssival,0.3872497035468961
FL,hh4,hpawval,0.058088343080082136
FL,hh4,hvetval,3.4148227174550807
FL,hh4,hsurval,0.8889855100440528
FL,hh4,hdisval,1.5395672484130907
FL,hh4,hedval,1.6115959975522385
FL,hh4,hcspval,0.5291720525074627
FL,hh4,hfinval,0.35008170834879404
FL,hh4,medicare,6.6083982554045155
FL,hh4,medicaid,2.3784128281288677
FL,hh5,hucval,0.12235791076400623
FL,hh5,hwcval,0.020663691233396585
FL,hh5,hssval,8.855865369566093
FL,hh5,hssival,0.12284156724683715
FL,hh5,hvetval,1.127518555687776
FL,hh5,hsurval,1.5519801918237885
FL,hh5,hdisval,0.15565296106246163
FL,hh5,hedval,0.6603797424626865
FL,hh5,hcspval,0.3925199791044776
FL,hh5,hfinval,0.29340133580705013
FL,hh5,medicare,9.98849688326484
FL,hh5,medicaid,3.59493604996542
GA,hh1,hucval,0.10501662399364176
GA,hh1,hssval,4.769727633693802
GA,hh1,hssival,0.7226496576456259
GA,hh1,hpawval,0.13110559259137577
GA,hh1,hvetval,0.2953957297201767
GA,hh1,hsurval,0.00648634255506608
GA,hh1,hdisval,0.19250940198005032
GA,hh1,hedval,0.13174532567164177
GA,hh1,hcspval,0.0860489677761194
GA,hh1,hfinval,0.11454332687198515
GA,hh1,medicare,6.621378653813507
GA,hh1,medicaid,3.46409944519392
GA,hh2,hucval,0.06617657107714436
GA,hh2,hwcval,0.007729479165085389
GA,hh2,hssval,7.907882557415245
GA,hh2,hssival,0.5781059069901661
GA,hh2,hpawval,0.025901730924024643
GA,hh2,hvetval,0.6237301578164437
GA,hh2,hsurval,0.4331092849691629
GA,hh2,hdisval,0.2539262546198332
GA,hh2,hedval,0.5328633181684378
GA,hh2,hcspval,0.13901203397014927
GA,hh2,hfinval,0.049846288385899815
GA,hh2,medicare,6.223936725431616
GA,hh2,medicaid,3.2561701852033798
GA,hh3,hucval,0.2082853925650216
GA,hh3,hwcval,0.09236756516129033
GA,hh3,hssval,4.318772915510098
GA,hh3,hssival,0.1900328758918207
GA,hh3,hpawval,0.02070325256673512
GA,hh3,hvetval,0.5084944682729958
GA,hh3,hsurval,0.35795212251541847
GA,hh3,hdisval,0.10342314741668152
GA,hh3,hedval,0.341096723880597
GA,hh3,hcspval,0.16834247802985072
GA,hh3,hfinval,0.006648990723562152
GA,hh3,medicare,3.747715685683908
GA,hh3,medicaid,1.9606883258435999
GA,hh4,hucval,0.15709459810407414
GA,hh4,hwcval,0.27995945205313094
GA,hh4,hssval,5.338561210029526
GA,hh4,hssival,0.2205672465101595
GA,hh4,hpawval,0.08427796632443532
GA,hh4,hvetval,0.7883453530447208
GA,hh4,hsurval,0.44253972528634367
GA,hh4,hdisval,0.172150279027144
GA,hh4,hedval,0.7109985235042603
GA,hh4,hcspval,0.4188241383880597
GA,hh4,hfinval,0.36138780155844147
GA,hh4,medicare,2.160458524830984
GA,hh4,medicaid,1.0180481405811623
GA,hh5,hucval,0.019597832090551676
GA,hh5,hssval,2.365363847743758
GA,hh5,hvetval,0.6631695146647502
GA,hh5,hsurval,0.007865339207048457
GA,hh5,hdisval,0.20337920282482613
GA,hh5,hedval,0.4398749776119403
GA,hh5,hcspval,0.0715214214925373
GA,hh5,medicare,2.9221104102399837
GA,hh5,medicaid,1.350108628739047
HI,hh1,hucval,0.008992812021177554
HI,hh1,hwcval,0.011776727772296018
HI,hh1,hssval,0.5533148482815627
HI,hh1,hssival,0.07075335788876008
HI,hh1,hpawval,0.017800044813141687
HI,hh1,hvetval,0.008112393048600883
HI,hh1,hsurval,0.000641180616740088
HI,hh1,hdisval,3.133167215563642e-07
HI,hh1,hedval,0.04749662376119403
HI,hh1,hcspval,0.012458231343283582
